[main] 2023-04-21 16:21:48 INFO  - #[ Filename: HackerEarth ( sheet :Sheet1 ) on line no: 2 ]
[main] 2023-04-21 16:21:54 INFO  - User have entered URL successfully : https://www.hackerearth.com
[main] 2023-04-21 16:21:54 INFO  - #[ Filename: HackerEarth ( sheet :Sheet1 ) on line no: 3 ]
[main] 2023-04-21 16:21:55 INFO  -  Click Retry Cout: 0
[main] 2023-04-21 16:21:55 INFO  - Inside the TRY of else block By.xpath: //a[@value='Login'] | //a[normalize-space()='Login']
[main] 2023-04-21 16:21:55 INFO  - Inside clickUsingJavaScript step:last
[main] 2023-04-21 16:21:55 INFO  - Successfully clicked on Login Button
[main] 2023-04-21 16:21:55 INFO  - #[ Filename: HackerEarth ( sheet :Sheet1 ) on line no: 4 ]
[main] 2023-04-21 16:21:57 INFO  - Successfully entered text
[main] 2023-04-21 16:21:57 INFO  - Entered project.daisy.input@gmail.com in Username or Email field
[main] 2023-04-21 16:21:57 INFO  - #[ Filename: HackerEarth ( sheet :Sheet1 ) on line no: 5 ]
[main] 2023-04-21 16:21:59 INFO  - Successfully entered text
[main] 2023-04-21 16:21:59 INFO  - Entered Password Successfully
[main] 2023-04-21 16:21:59 INFO  - #[ Filename: HackerEarth ( sheet :Sheet1 ) on line no: 6 ]
[main] 2023-04-21 16:21:59 INFO  -  Click Retry Cout: 0
[main] 2023-04-21 16:21:59 INFO  - Inside the TRY of else block By.xpath: //button[@value='Log in'] | //button[normalize-space()='Log in']
[main] 2023-04-21 16:21:59 INFO  - Inside clickUsingJavaScript step:last
[main] 2023-04-21 16:21:59 INFO  - Successfully clicked on Log in Button
[main] 2023-04-21 16:22:00 INFO  - Re-Triggering failed test cases is disabled
[main] 2023-04-21 16:22:00 INFO  - Closing Browser
[main] 2023-04-21 16:22:01 INFO  - End of execution
[main] 2023-04-21 16:22:02 INFO  - This is the end of test case execution
