[main] 2023-04-27 10:55:37 INFO  - #[ Filename: ILovePdf_RGI-Feature_TestCase3 ( sheet :Sheet1 ) on line no: 2 ]
[main] 2023-04-27 10:55:39 INFO  - User have entered URL successfully : https://www.ilovepdf.com/
[main] 2023-04-27 10:55:39 INFO  - #[ Filename: ILovePdf_RGI-Feature_TestCase3 ( sheet :Sheet1 ) on line no: 3 ]
[main] 2023-04-27 10:55:39 INFO  -  Click Retry Cout: 0
[main] 2023-04-27 10:55:39 INFO  - Inside the TRY of else block By.xpath: //a[@value='Log in'] | //a[normalize-space()='Log in']
[main] 2023-04-27 10:55:41 INFO  - Inside clickUsingJavaScript step:last
[main] 2023-04-27 10:55:41 INFO  - Successfully clicked on Log in Button
[main] 2023-04-27 10:55:41 INFO  - #[ Filename: ILovePdf_RGI-Feature_TestCase3 ( sheet :Sheet1 ) on line no: 4 ]
[main] 2023-04-27 10:55:43 INFO  - Successfully entered text
[main] 2023-04-27 10:55:43 INFO  - Entered project.daisy.input@gmail.com in Enter your email field
[main] 2023-04-27 10:55:43 INFO  - #[ Filename: ILovePdf_RGI-Feature_TestCase3 ( sheet :Sheet1 ) on line no: 5 ]
[main] 2023-04-27 10:55:44 INFO  - Successfully entered text
[main] 2023-04-27 10:55:44 INFO  - Entered Password Successfully
[main] 2023-04-27 10:55:44 INFO  - #[ Filename: ILovePdf_RGI-Feature_TestCase3 ( sheet :Sheet1 ) on line no: 6 ]
[main] 2023-04-27 10:55:44 INFO  -  Click Retry Cout: 0
[main] 2023-04-27 10:55:45 INFO  - Inside the TRY of else block By.xpath: //button[@value='Log in'] | //button[normalize-space()='Log in']
[main] 2023-04-27 10:55:50 INFO  - Inside clickUsingJavaScript step:last
[main] 2023-04-27 10:55:50 INFO  - Successfully clicked on Log in Button
[main] 2023-04-27 10:55:51 INFO  - Re-Triggering failed test cases is disabled
[main] 2023-04-27 10:55:51 INFO  - Closing Browser
[main] 2023-04-27 10:55:52 INFO  - End of execution
[main] 2023-04-27 10:55:52 INFO  - This is the end of test case execution
